Date,simOpen,simHigh,simLow,simClose,simRSI
1999-06-04,104.08251736580654,108.79999441945934,101.0598454259279,105.69139883606475,52.267690992879274
1999-06-07,106.341514037227,109.5108495471663,103.10859382506578,106.22990406377102,53.95347508553255
1999-06-08,106.88333164832768,109.35392480050159,102.10036226570342,104.86115130916444,49.219509511685544
1999-06-09,105.50615959960444,108.65126409115348,102.23995382100497,104.96503260795525,49.57925102198709
1999-06-10,105.6106798795442,108.05185588531675,100.55595550955158,103.7053483804327,45.40054100272641
1999-06-11,104.34324724605867,107.49670084344729,100.15430964688865,102.97422219901713,43.13948610058726
1999-06-14,103.60762385626342,106.68179519852953,100.4867626410942,103.0024890895326,43.25654778209856
1999-06-15,103.63606461840341,107.40411392612859,100.6263581708528,103.57203623307674,45.67117001227862
1999-06-16,104.20911508634173,109.21296434558838,101.18276661659085,105.89993799203705,54.2050945919627
1999-06-17,106.55133593216226,110.09013594480923,102.86363119778711,106.65493671128334,56.575372866946694
1999-06-18,107.31097870144143,110.17247955617141,103.69530881954577,106.8885551347935,57.30794986426739
1999-06-21,107.54603412824675,110.54570968244133,104.0215211475874,107.3784801744489,58.86711502427199
1999-06-22,108.03897273115531,110.70999067776644,103.85782641342696,106.3337409554849,54.33340712527574
1999-06-23,106.98700636610667,109.45999602176241,102.98182987943984,106.10887188404135,53.385235406990645
1999-06-24,106.76155499115518,109.2293333698807,101.75124507479808,104.73301784503423,47.90491453271763
1999-06-25,105.37723797753368,108.9019846810518,102.07279408490422,104.69521105089402,47.760565128760845
1999-06-28,105.3391986311532,109.66851726820741,102.28003133010482,105.9715570484831,52.894691661594265
1999-06-29,106.62339552242034,110.73985410594511,103.29753829569286,107.57105755135294,58.38612191238985
1999-06-30,108.232734664977,112.49454473893556,104.10586086794117,109.26287830597805,63.24232504463647
1999-07-01,109.93496192762734,113.30284330215568,105.81308962494573,109.91913621771153,64.94260981088378
1999-07-02,110.59525652776672,113.99232674766844,107.26991745032309,110.73537749663124,66.97816136801669
1999-07-06,111.41651856399562,115.14720688378775,107.86359835591442,110.48821169486928,65.73975365847849
1999-07-07,111.16783242806554,114.37165095936929,107.69600726396125,111.10386381178269,67.35081822852362
1999-07-08,111.78727146429524,114.96689578157395,107.82623598428958,110.98882663982442,66.72267030671588
1999-07-09,111.67152669063042,114.9787516105673,108.42846156465195,111.69361859072801,68.64243226888556
1999-07-12,112.38065386621614,115.28639528321257,108.4498241762295,111.36049063824454,66.69394015803834
1999-07-13,112.0454768203512,114.63539236782859,107.83823217665186,110.91911685581016,64.11052615406564
1999-07-14,111.60138811684939,114.71689414172681,107.8144970772991,111.28562625968594,65.30616962808023
1999-07-15,111.97015194575354,115.50467315499489,108.7184144054416,112.19655430630861,68.1332284701841
1999-07-16,112.88668317462923,116.24984030248064,109.40382592854374,112.92520643483246,70.21341687828931
1999-07-19,113.61981729345987,116.35755398362218,109.21757229510938,112.03890752718515,64.70851902160405
1999-07-20,112.72806669911942,115.33376022269817,106.92954662560217,109.60692175324755,52.587123735746076
1999-07-21,110.28112161025174,113.60780371955074,106.7316402515257,109.78081515721534,53.25791064292612
1999-07-22,110.45608464473388,113.00926166970677,105.28341134441823,108.32226989139407,47.25040930348634
1999-07-23,108.98856776476707,112.03629069606257,104.9673233168034,108.0011048341468,46.02556611863061
1999-07-26,108.66542719874529,111.3107635930712,104.66756641500665,107.27004516663753,43.288796813896134
1999-07-27,107.92906991966636,112.14605228924074,104.7946899259991,108.46987732544127,48.657248926929334
1999-07-28,109.13708314243074,112.28982868256799,105.40000749861989,108.67322041748581,49.5248694599778
1999-07-29,109.34167701208472,111.86909469629273,103.63301557377109,106.73318287017115,42.23002609424432
1999-07-30,107.38970615785884,110.68230557126249,103.29594600192837,105.7530209635735,39.111509113538666
1999-08-02,106.40351520668403,110.17473393992958,103.03818847141424,105.69929581823982,38.94262260333236
1999-08-03,106.34945959421636,109.46397789954996,102.24159692398565,105.23170387517793,37.43523948293877
1999-08-04,105.87899146034388,108.97443942468188,101.4325708109106,103.8902222754277,33.45474439687274
1999-08-05,104.52925831326266,107.63201206040867,100.09171679253042,104.55678739918795,37.01991882109934
1999-08-06,105.199923525812,107.88067183696248,100.54852736430603,103.48830858919152,33.90061411254858
1999-08-09,104.12487242777635,107.05769184734467,100.7619678342245,103.2897416976678,33.341232564562404
1999-08-10,103.92508413738732,106.40758869267601,98.56896274363126,101.98649021175007,29.874746814743133
1999-08-11,102.61381626024794,106.66526243896126,99.6337970894352,103.61765933267658,38.45559696516226
1999-08-12,104.25501881674948,107.6217849355791,100.92643690501072,103.31722189841021,37.54888122758002
1999-08-13,103.9527333707703,108.77656662683579,100.93383057810235,105.66625237863191,47.84959090356008
1999-08-16,106.31621290209571,109.05389122267796,102.69296450547182,105.91177721894246,48.79540518277307
1999-08-17,106.56324798290538,110.12345407174219,103.3122531309393,106.97704464143173,52.776755570234805
1999-08-18,107.63506793996424,110.1230378050858,103.56921800803313,106.07572062668633,49.30164672509839
1999-08-19,106.72819981803943,109.19520755063141,102.27039179393891,105.3391469647173,46.614185015772485
1999-08-20,105.9870954398566,109.50365852167597,102.90911255089271,106.37495764914347,50.66604317187488
1999-08-23,107.02927746839221,111.43916565998697,103.92102845657907,108.25357243039663,57.00689671958184
1999-08-24,108.91944774081803,112.5103378790602,105.25248802094917,108.51420315012057,57.81289221983045
1999-08-25,109.18168161836397,113.28247287178155,105.6750469638866,109.96940336292383,62.067025498783885
1999-08-26,110.6458328696565,113.20339619254112,105.86435536149457,108.3948014429582,55.57042303090478
1999-08-27,109.06154546293318,111.87905735478418,104.75447945870413,107.30090152197118,51.55384284931583
1999-08-31,106.01912315740124,109.2283649752756,101.60993300671093,105.08328192706878,44.5584028412086
1999-09-01,105.72965650384668,109.05591053555767,102.65137513895263,105.93124831549433,47.47817276745358
1999-09-02,106.58283879251239,109.04648663775532,101.44511665572261,104.97902888521597,44.64908092703296
1999-09-03,105.62476219428153,111.23180491713882,102.55730187753434,108.01314046135535,54.00562563591499
1999-09-07,108.67753680178004,111.5295864641557,104.92665332384063,107.4723640542309,52.316813441064276
1999-09-08,107.57212614225428,111.02205954129745,103.97541016981076,106.97058723330017,50.73940624223323
1999-09-09,107.62857074450358,110.40394040260145,103.70679081246344,107.24951685850777,51.608406153729455
1999-09-10,107.90921608520756,111.21947312721073,104.66190288958964,107.56743957031411,52.62893060173731
1999-09-13,108.22909436169401,110.73079528191475,104.3116494730616,106.9677825474143,50.47764930099658
1999-09-14,107.62574880680003,110.11350347588754,103.44827588818826,106.34345982691796,48.27636246974169
1999-09-15,106.99758583389057,110.38179063967166,102.46595811053105,104.885131661937,43.525912536637044
1999-09-16,105.53028739108558,108.34152911233726,101.06460068734685,104.92532141369175,43.689523608893694
1999-09-17,105.57072435279457,109.57239434113855,102.50483334121044,106.27301877142425,48.99823318161381
1999-09-20,106.92671149057236,109.65472020136292,103.44826654277408,106.28137088372688,49.03013977072492
1999-09-21,106.93431428005282,109.40608651245974,101.22749516498162,104.05671036931975,41.60258127621272
1999-09-22,104.69677042162695,107.82297438953857,100.89670005984003,104.28948530105079,42.57779211889355
1999-09-23,104.93097716812949,107.73163572800064,99.30179303233342,101.92240232222892,36.02343001772817
1999-09-24,102.52050932564117,104.95579273873248,98.25110276991416,101.65065264826282,35.35400084559073
1999-09-27,102.27591287016064,106.08096682734855,99.30570686289678,102.12376169436696,37.5197963685932
1999-09-28,102.75193204285465,105.2974205130037,97.66728798854516,102.03504363805835,37.26893328763767
1999-09-29,102.66266827562212,105.60585581975411,98.58972381811581,100.93409278141124,34.22626295244433
1999-09-30,101.55494539381834,105.78240025847097,98.60567704001595,102.07485688666046,39.69229157232658
1999-10-01,102.70272641828056,105.1160067556573,98.41017177874785,102.08242879384656,39.72791274994794
1999-10-04,102.71034490079347,106.86946792963909,99.72752245245553,103.81603012490518,47.35562948827392
1999-10-05,104.45460973400088,107.83814705795118,100.00934698264471,103.55701275940532,46.41529510859767
1999-10-06,104.19399913470264,108.57745097380494,101.16808974852515,105.47043862427765,53.693128707421195
1999-10-07,106.11919461491618,108.78756674496742,102.16123573594774,104.85252779593334,51.2831491777313
1999-10-08,105.49748297416606,109.48672242028084,101.97349475521473,106.31473843319768,56.26068069957066
1999-10-11,106.96868777057938,109.7042056265706,102.95885618764996,106.2498802393813,55.98881512133755
1999-10-12,106.90343062950983,109.42036199559965,101.9789430013883,104.48529182406169,49.075926697806885
1999-10-13,105.12798810833476,107.55800746255007,99.72410612058715,102.29737731789821,42.160565820034016
1999-10-14,102.92661558814012,105.6366881450055,98.55841551305473,102.12749632111536,41.672060841330456
1999-10-15,102.75568964155147,105.13087365531679,96.81513221394374,99.26163277179792,34.45598395891156
1999-10-18,99.8721979665694,102.73119676569905,95.90289005262228,99.79599607881235,36.647595699204395
1999-10-19,100.40984817938535,104.79259168800384,97.49383483617925,100.36775508128414,38.9864152624367
1999-10-20,100.98512411117775,105.62280362306358,98.0524041169454,102.60418918444279,47.16146986959067
1999-10-21,103.23531467577732,105.62158523184809,98.3855291926035,102.14068478441348,45.79883490409683
1999-10-22,102.76895922800298,107.21522059337228,99.78443473896026,103.575795419443,50.53956144306435
1999-10-25,104.21289732818623,106.63650892480965,99.97606879849373,102.9372309076888,48.516503166473235
1999-10-26,103.57040496178561,106.76798540785023,99.64764052635597,102.00425339386615,45.6556158592579
1999-10-27,102.63168863850015,106.4358363353133,99.5399871323247,103.18153469785729,49.668215943322046
1999-10-28,103.81621148152908,109.96420968668994,100.8012736782126,106.81996258910337,59.55642231274289
1999-10-29,107.47701959534501,112.48258360227761,104.35576786845606,108.44997881608882,63.04163529318762
1999-11-01,109.11706216531233,112.00297582968925,105.24778141826116,107.74854658248346,60.63260106586858
1999-11-02,108.41131537333864,112.17210873067671,104.66980808535685,107.24047695345338,58.886255531106805
1999-11-03,107.90012057274586,111.43448631887887,104.76658156218483,107.81218417982893,60.266003913960404
1999-11-04,108.47534440996367,112.16798426783072,105.32510026205748,108.42526364912065,61.74120251350157
1999-11-05,109.09219497363623,113.64931785675924,105.92403680214328,109.02879009521357,63.182920568146166
1999-11-08,109.69943375280103,113.099272104514,106.17471860184486,109.56786053270473,64.46443835802842
1999-11-09,110.24182004998008,113.34703097266953,105.83073239885198,108.63409729534375,60.5527550096533
1999-11-10,109.30231317011626,112.97391480297912,105.73238772404943,109.28456187517044,62.26188011004601
1999-11-11,109.95677880273429,113.20774772441378,106.66556790591375,109.92069916687045,63.900754707651444
1999-11-12,110.59682901908165,114.35404256425763,106.33635305561289,111.08198375771694,66.72699162158747
1999-11-15,111.76525675207276,114.55592420817261,108.21708866126892,110.9486849708688,66.09063419302504
1999-11-16,111.63113803513197,116.33863168543269,108.38924612403517,112.98838655720246,70.67556591719462
1999-11-17,113.68658826066951,116.59947796209741,109.6558741222365,112.2463893796853,67.13741259737478
1999-11-18,112.93682471356799,116.73991818413984,109.65701426472002,113.37820780361363,69.62279328583483
1999-11-19,114.07560503119943,116.7124475212375,110.19294911608878,113.14385223990934,68.47390449923691
1999-11-22,113.83980793015245,116.72920680152387,109.77977833147598,113.05908385054006,68.03878854657862
1999-11-23,113.75451812453504,116.64276362347277,108.99427821122119,111.76172412780454,61.6181493379237
1999-11-24,112.44917825207459,116.28275405129764,108.75834156374101,112.75110392967161,64.36575914538676
1999-11-26,113.44464379779154,116.7352546310373,110.07701895706101,112.71407746247743,64.18153281919527
1999-11-29,113.40738957822705,116.02878639041056,109.14461629871484,112.0142706653849,60.665387048020115
1999-11-30,112.70327822094089,115.53445841564117,107.80724728130292,110.52120416407853,53.91359169178697
1999-12-01,111.1882190267111,114.67647571844839,107.84026355326807,111.2090227074454,56.31344160703689
1999-12-02,111.89307712594186,115.40663259320328,108.643578275143,112.10927352831365,59.28649418104318
1999-12-03,113.13589279284295,118.54968877574198,109.85030119899794,114.0390795399336,64.7899419592789
1999-12-06,114.74054184215528,117.46564889982257,110.23853022878652,113.24619104374872,61.15110700684359
1999-12-07,113.94197569971149,116.86075464024489,109.53233820228601,112.11834540103457,56.32950382432985
1999-12-08,112.8079931341154,115.94708871119232,109.12074165190566,111.69703124889631,54.60625058212399
1999-12-09,112.3840874493524,116.17597940029363,108.15805691458917,112.03316090620328,55.76306116624665
1999-12-10,112.72228466353738,116.43107728520084,109.25749464942396,112.7432331398631,58.17549771922589
1999-12-13,113.43672460084565,116.4306371757287,109.613073066114,112.59800323567461,57.48847927281721
1999-12-14,113.29060137742523,116.16155760342548,108.94109667762015,111.63885321972919,53.054965727776356
1999-12-15,112.3255515630854,116.08740674382913,108.50075122835416,112.44677999850686,56.10977246362325
1999-12-16,113.13764744283928,116.55462638729593,109.46570420846156,112.87996560748087,57.69134297802132
1999-12-17,113.5742981193827,117.21103461633,110.27597477140512,113.06014304724097,58.36002675027261
1999-12-20,113.75398282957403,117.05334156283725,109.66851852608296,112.82421515323347,57.09405351396004
1999-12-21,113.51820474023957,117.64586038255385,109.97123389839498,114.0442496219637,61.69758608592977
1999-12-22,114.74574372576113,117.937800185755,111.07296334886065,114.24749313271484,62.41731564748834
1999-12-23,114.96144436945629,119.6916547933499,111.6228367511747,116.02522928080933,68.04462678778158
1999-12-29,116.68447488958009,120.18505819861717,113.29582855742736,116.43213684826104,69.17647231757843
1999-12-30,117.14831901521778,120.64815506498418,113.67935910514032,116.51205182355744,69.40450462474853
