Date,Open,High,Low,Close,Volume
1993-01-29,25.7210,25.7210,25.5931,25.7028,1003200
1993-02-01,25.7210,25.8856,25.7210,25.8856,480500
1993-02-02,25.8673,25.9587,25.8125,25.9404,201300
1993-02-03,25.9770,26.2329,25.9587,26.2146,529400
1993-02-04,26.3060,26.3791,26.0135,26.3243,531500
1993-02-05,26.3060,26.3609,26.1598,26.3060,492100
1993-02-08,26.3060,26.3974,26.2694,26.3060,596100
1993-02-09,26.2146,26.2146,26.0684,26.1232,122100
1993-02-10,26.1232,26.1781,26.0501,26.1598,379600
1993-02-11,26.1963,26.3974,26.1963,26.2878,19500
1993-02-12,26.2512,26.2512,26.0866,26.0866,42500
1993-02-16,26.0135,26.0135,25.3920,25.4285,374800
1993-02-17,25.4285,25.4651,25.3188,25.4103,210900
1993-02-18,25.7028,25.7028,25.0447,25.3920,378100
1993-02-19,25.3920,25.4834,25.3554,25.4834,34900
1993-02-22,25.5565,25.6113,25.4834,25.5748,513600
1993-02-23,25.6479,25.6662,25.4285,25.5565,373700
1993-02-24,25.5748,25.8856,25.5748,25.8856,26300
1993-02-25,25.8673,25.9587,25.8125,25.9404,44500
1993-02-26,25.9953,25.9953,25.8490,25.9770,66200
1993-03-01,26.0684,26.0684,25.8673,25.9038,66500
1993-03-02,25.9221,26.2878,25.8856,26.2878,182400
1993-03-03,26.3243,26.4157,26.2878,26.3974,280100
1993-03-04,26.4340,26.4340,26.2512,26.2512,89500
1993-03-05,26.2878,26.3974,26.1598,26.1781,40000
1993-03-08,26.2329,26.7631,26.2329,26.7631,50800
1993-03-09,26.7082,26.7265,26.6168,26.6716,169300
1993-03-10,26.6716,26.7265,26.5619,26.7265,194400
1993-03-11,26.7447,26.8179,26.6168,26.6534,70900
1993-03-12,26.4340,26.4523,26.2146,26.3791,643600
1993-03-15,26.3609,26.5071,26.3609,26.5071,310800
1993-03-16,26.5071,26.5802,26.5071,26.5071,30800
1993-03-17,26.4706,26.4706,26.3060,26.3426,21800
1993-03-18,26.4523,26.6168,26.4523,26.5071,59300
1993-03-19,26.6141,26.6141,26.4672,26.4672,66900
1993-03-22,26.2100,26.3754,26.1917,26.3202,183400
1993-03-23,26.3937,26.4121,26.3386,26.3754,55200
1993-03-24,26.3386,26.4856,26.2100,26.3754,37200
1993-03-25,26.3937,26.5958,26.3570,26.5406,110100
1993-03-26,26.5223,26.5406,26.3754,26.3937,101500
1993-03-29,26.4121,26.6325,26.4121,26.5039,87100
1993-03-30,26.5406,26.5774,26.5039,26.5774,56000
1993-03-31,26.6508,26.7243,26.5590,26.5590,111600
1993-04-01,26.5958,26.5958,26.4121,26.4672,129500
1993-04-02,26.2468,26.2468,25.9162,25.9162,59400
1993-04-05,26.1182,26.1182,25.9713,26.0448,172200
1993-04-06,26.0998,26.0998,25.8978,25.9713,129700
1993-04-07,26.0080,26.0631,25.9529,26.0631,28000
1993-04-08,26.1733,26.1733,25.9162,26.0264,180800
1993-04-12,26.2835,26.4121,26.2468,26.3937,348500
1993-04-13,26.3754,26.5406,26.3570,26.4488,146100
1993-04-14,26.4672,26.4856,26.3937,26.4121,119600
1993-04-15,26.3937,26.4672,26.3019,26.4121,148600
1993-04-16,26.4304,26.4672,26.3754,26.4121,47900
1993-04-19,26.4121,26.4856,26.2835,26.3019,157000
1993-04-20,26.2652,26.3019,26.0080,26.1733,279500
1993-04-21,26.2284,26.2284,26.0815,26.1550,67900
1993-04-22,26.0448,26.2652,25.8243,25.8243,97700
1993-04-23,25.7692,25.8427,25.6774,25.7141,106000
1993-04-26,25.7325,25.8243,25.4386,25.5121,62600
1993-04-27,25.4753,25.7876,25.4753,25.7876,156800
1993-04-28,25.7509,25.8059,25.6957,25.7325,85900
1993-04-29,25.7876,25.8427,25.6407,25.8427,85000
1993-04-30,25.9345,26.0264,25.8794,25.8794,88500
1993-05-03,25.9162,26.0448,25.8059,26.0448,80500
1993-05-04,26.0998,26.2284,26.0631,26.1366,149100
1993-05-05,26.1366,26.3019,26.1366,26.2100,109000
1993-05-06,26.1733,26.1917,26.0998,26.1182,54700
1993-05-07,26.1366,26.1366,26.0264,26.0631,68000
1993-05-10,26.0998,26.2652,26.0998,26.1182,113900
1993-05-11,26.1182,26.2284,26.0448,26.2284,42600
1993-05-12,26.1182,26.2100,26.1182,26.1917,31000
1993-05-13,26.0815,26.0815,25.8611,25.8794,129100
1993-05-14,25.8794,25.9529,25.8427,25.8611,63500
1993-05-17,25.9345,25.9529,25.8243,25.9529,34000
1993-05-18,25.9713,25.9896,25.8427,25.9345,105200
1993-05-19,25.9345,26.4672,25.7692,26.4672,50200
1993-05-20,26.4672,26.5406,26.4121,26.5406,98200
1993-05-21,26.5590,26.5958,26.2835,26.3019,221400
1993-05-24,26.3570,26.5039,26.3570,26.4121,30500
1993-05-25,26.5223,26.5223,26.4672,26.4672,191800
